,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00
1.00,0.00,0.00,0.00,0.00,0.00,2.00,5.00,0.00,4.00,0.00,0.00,0.00,12.00,10.00,5.00,9.00,5.00,3.00,1.00,2.00,3.00,2.00
2.00,1.00,0.00,2.00,1.00,0.00,11.00,26.00,2.00,19.00,1.00,2.00,1.00,60.00,51.00,27.00,44.00,26.00,15.00,3.00,12.00,17.00,12.00
3.00,1.00,0.00,0.00,1.00,0.00,7.00,16.00,1.00,11.00,1.00,1.00,0.00,37.00,31.00,16.00,27.00,16.00,9.00,2.00,7.00,10.00,7.00
4.00,2.00,1.00,2.00,0.00,1.00,14.00,32.00,2.00,23.00,1.00,2.00,1.00,75.00,63.00,33.00,54.00,32.00,19.00,3.00,14.00,21.00,15.00
5.00,3.00,1.00,4.00,3.00,0.00,24.00,58.00,4.00,42.00,2.00,4.00,1.00,135.00,114.00,60.00,98.00,59.00,34.00,6.00,26.00,37.00,26.00
6.00,4.00,2.00,5.00,3.00,1.00,0.00,76.00,5.00,55.00,3.00,5.00,2.00,178.00,150.00,79.00,130.00,77.00,45.00,8.00,34.00,49.00,35.00
7.00,1.00,0.00,1.00,1.00,0.00,8.00,0.00,1.00,13.00,1.00,1.00,0.00,43.00,37.00,19.00,32.00,19.00,11.00,2.00,8.00,12.00,8.00
8.00,1.00,0.00,1.00,1.00,0.00,6.00,13.00,0.00,10.00,1.00,1.00,0.00,32.00,27.00,14.00,23.00,14.00,8.00,1.00,6.00,9.00,6.00
9.00,7.00,3.00,8.00,6.00,2.00,57.00,133.00,9.00,0.00,5.00,8.00,3.00,313.00,264.00,138.00,228.00,136.00,80.00,14.00,60.00,87.00,61.00
10.00,2.00,1.00,2.00,2.00,1.00,15.00,35.00,2.00,25.00,0.00,2.00,1.00,82.00,69.00,36.00,60.00,35.00,21.00,4.00,16.00,23.00,16.00
11.00,0.00,0.00,1.00,0.00,0.00,4.00,8.00,1.00,6.00,0.00,0.00,0.00,20.00,16.00,9.00,14.00,8.00,5.00,1.00,4.00,5.00,4.00
12.00,1.00,0.00,1.00,1.00,0.00,5.00,11.00,1.00,8.00,0.00,1.00,0.00,27.00,22.00,12.00,19.00,12.00,7.00,1.00,5.00,7.00,5.00
13.00,25.00,11.00,30.00,22.00,8.00,207.00,488.00,32.00,355.00,20.00,30.00,12.00,0.00,964.00,505.00,834.00,496.00,292.00,52.00,219.00,317.00,222.00
14.00,14.00,6.00,17.00,13.00,5.00,117.00,277.00,18.00,201.00,11.00,17.00,7.00,650.00,0.00,287.00,473.00,282.00,166.00,29.00,124.00,180.00,126.00
15.00,10.00,4.00,12.00,9.00,3.00,82.00,194.00,13.00,141.00,8.00,12.00,5.00,455.00,383.00,0.00,331.00,197.00,116.00,21.00,87.00,126.00,88.00
16.00,16.00,7.00,20.00,15.00,6.00,136.00,320.00,21.00,232.00,13.00,20.00,8.00,750.00,632.00,331.00,0.00,325.00,191.00,34.00,144.00,208.00,145.00
17.00,11.00,5.00,13.00,9.00,4.00,88.00,208.00,14.00,151.00,9.00,13.00,5.00,488.00,411.00,215.00,356.00,0.00,124.00,22.00,93.00,135.00,95.00
18.00,10.00,4.00,12.00,9.00,3.00,81.00,192.00,13.00,140.00,8.00,12.00,5.00,451.00,380.00,199.00,328.00,195.00,0.00,20.00,86.00,125.00,87.00
19.00,3.00,1.00,4.00,3.00,1.00,24.00,57.00,4.00,42.00,2.00,4.00,1.00,134.00,113.00,59.00,98.00,58.00,34.00,0.00,26.00,37.00,26.00
20.00,6.00,3.00,7.00,5.00,2.00,47.00,110.00,7.00,80.00,5.00,7.00,3.00,257.00,217.00,114.00,187.00,111.00,66.00,12.00,0.00,71.00,50.00
21.00,6.00,3.00,8.00,6.00,2.00,54.00,127.00,8.00,92.00,5.00,8.00,3.00,298.00,251.00,132.00,217.00,129.00,76.00,13.00,57.00,0.00,58.00
22.00,4.00,2.00,5.00,4.00,2.00,37.00,87.00,6.00,63.00,4.00,5.00,2.00,204.00,172.00,90.00,148.00,88.00,52.00,9.00,39.00,56.00,0.00